permno,date,ticker_x,comnam,tsymbol,hexcd,cusip,prc,vol,ret,bid,ask,shrout,numtrd,ewretd,mktcap,year,month,yrmo,bid_ask_spread,turnover,dollar_vol,ticker_y,russell1000,russell2000,name,r1000_wt,r2000_wt
81886,2002-01-17,NVDM,NOVADIGM INC,NVDM,3,66993710,10.5,36327.0,0.050000,10.46,10.5,19829.0,125.0,0.006987,208204.5,2002,1,200201,0.003816793893129689,0.1744774968840731,381433.5,,,,,,
83452,1996-08-08,NDN,99 CENTS ONLY STORES,,1,65440K10,15.125,104400.0,0.130841,14.625,15.5,14179.0,,0.001626,214457.375,1996,8,199608,0.05809128630705394,0.4868100246027911,1579050.0,,,,,,
77077,2005-01-12,SKO,SHOPKO STORES INC,SKO,1,82491110,18.37,266900.0,0.015478,18.37,18.38,29559.0,,0.002705,542998.8300000001,2005,1,200501,0.0005442176870747217,0.4915296042166426,4902953.0,,,,,,
77077,1999-11-15,SKO,SHOPKO STORES INC,,1,82491110,24.125,208000.0,-0.002584,23.875,24.375,30383.0,,0.008944,732989.875,1999,11,199911,0.02072538860103627,0.2837692676177826,5018000.0,,,,,,
77077,2002-02-28,SKO,SHOPKO STORES INC,SKO,1,82491110,14.1,308100.0,0.010753,14.09,14.1,28724.0,,-0.001053,405008.4,2002,2,200202,0.0007094714437743731,0.7607249627415136,4344210.0,,,,,,
75900,2001-11-21,AZR,AZTAR CORP,,1,05480210,15.49,52200.0,-0.015883,15.24,15.75,37333.0,,0.000343,578288.17,2001,11,200111,0.0329138431752178,0.09026641509889437,808578.0,AZR,0.0,1.0,AZTAR CORP,0.0,0.000712
75900,1998-03-31,AZR,AZTAR CORP,,1,05480210,8.625,82700.0,0.014706,8.4375,8.625,45203.0,,0.006591,389875.875,1998,3,199803,0.02197802197802198,0.2121187929363416,713287.5,,,,,,
89070,2001-10-25,ZMH,ZIMMER HOLDINGS INC,,1,98956P10,29.59,703800.0,-0.012020,29.47,29.69,193611.0,,0.011118000000000001,5728949.49,2001,10,200110,0.00743745774171746,0.12284974779905067,20825442.0,,,,,,
89070,2004-10-01,ZMH,ZIMMER HOLDINGS INC,ZMH,1,98956P10,78.81,1050000.0,-0.002910,78.69,78.7,245047.0,,0.013046,19312154.07,2004,10,200410,0.00012707287629461998,0.0543699059252586,82750500.0,,,,,,
82640,2001-06-25,PRM,PRIMEDIA INC,,1,74157K10,6.87,86200.0,-0.005789,6.87,6.88,216050.0,,-0.000218,1484263.5,2001,6,200106,0.0014545454545454234,0.058075941367553674,592194.0,,,,,,
77043,1999-07-27,SWS,SOUTHWEST SECURITIES GROUP INC,,1,84522410,47.625,199300.0,0.024194,47.0625,47.875,11785.0,,0.0036,561260.625,1999,7,199907,0.017116524028966424,0.3550935004571183,9491662.5,,,,,,
80575,2004-10-11,SSD,SIMPSON MANUFACTURING CO INC,SSD,1,82907310,63.26,41600.0,0.011351,63.26,63.27,23824.0,,0.002379,1507106.24,2004,10,200410,0.00015806528096111775,0.027602566359223618,2631616.0,,,,,,
80575,2005-07-14,SSD,SIMPSON MANUFACTURING CO INC,SSD,1,82907310,30.84,236300.0,-0.022504,30.9,30.97,47994.0,,-0.001923,1480134.96,2005,7,200507,0.0022628091158881612,0.15964760402659495,7287492.0,,,,,,
80575,2003-02-26,SSD,SIMPSON MANUFACTURING CO INC,SSD,1,82907310,33.45,48200.0,-0.013274,33.6,33.66,24517.0,,-0.0055780000000000005,820093.65,2003,2,200302,0.0017841213202496335,0.05877377540967425,1612290.0000000002,,,,,,
60580,2001-08-15,TTC,TORO COMPANY,,1,89109210,48.55,55300.0,0.01569,48.4,48.6,12544.0,,-0.004715,609011.2,2001,8,200108,0.004123711340206244,0.09080292776224806,2684815.0,,,,,,
82540,1998-02-02,WLT,WALTER INDUSTRIES INC,,1,93317Q10,19.125,45800.0,0.013245,19.0,19.25,52696.0,,0.007653,1007811.0,1998,2,199802,0.013071895424836602,0.04544502887942283,875925.0,,,,,,
10913,1996-11-20,FFKT,FARMERS CAPITAL BANK CORP,FFKT,3,30956210,40.0,0.0,0.000000,39.25,40.75,3799.0,0.0,0.001352,151960.0,1996,11,199611,0.0375,0.0,0.0,,,,,,
83142,2002-12-20,APN,APPLICA INC,APN,1,03815A10,4.81,138500.0,0.076063,4.71,4.94,23467.0,,0.004411,112876.27,2002,12,200212,0.047668393782383515,1.2270072354446158,666185.0,,,,,,
87541,2006-03-29,PKG,PACKAGING CORP AMERICA,PKG,1,69515610,22.39,422100.0,0.000894,22.38,22.4,103767.0,,0.01095,2323343.13,2006,3,200603,0.0008932559178204365,0.18167785659796196,9450819.0,,,,,,
87541,2006-08-24,PKG,PACKAGING CORP AMERICA,PKG,1,69515610,22.45,278500.0,-0.004435,22.43,22.45,104126.0,,0.000662,2337628.7,2006,8,200608,0.0008912655971479313,0.1191378254382315,6252325.0,,,,,,
27764,1999-06-28,SRR,STRIDE RITE CORP,,1,86331410,10.75,151400.0,0.011765000000000001,10.625,10.8125,46412.0,,0.006292,498929.0,1999,6,199906,0.01749271137026239,0.3034499898783193,1627550.0,,,,,,
27764,2001-06-22,SRR,STRIDE RITE CORP,,1,86331410,8.42,41600.0,-0.037714,8.3,8.71,41680.0,,-0.002499,350945.6,2001,6,200106,0.048206937095826,0.11853689004791625,350272.0,,,,,,
12060,2005-08-03,GE,GENERAL ELECTRIC CO,GE,1,36960410,34.21,17918200.0,-0.001168,34.2,34.21,10605920.0,,-0.000573,362828523.2,2005,8,200508,0.00029235491887145184,0.0493847612695076,612981622.0,,,,,,
12060,2003-06-11,GE,GENERAL ELECTRIC CO,GE,1,36960410,30.98,16908500.0,0.012749,30.97,31.05,9994362.0,,0.010952,309625334.76,2003,6,200306,0.0025798129635602016,0.054609549354565225,523825330.0,,,,,,
78208,2000-10-02,TRID,TRIDENT MICROSYSTEMS INC,TRID,3,89591910,9.0,22668.0,-0.027027,9.0,9.0625,12903.0,53.0,-0.011865,116127.0,2000,10,200010,0.006920415224913495,0.19520008266811334,204012.0,,,,,,
78208,2005-01-18,TRID,TRIDENT MICROSYSTEMS INC,TRID,3,89591910,16.04,522746.0,0.011349,16.04,16.09,22942.0,1490.0,0.007684000000000002,367989.68,2005,1,200501,0.003112356053532569,1.4205452718130571,8384845.84,,,,,,
78208,2001-10-29,TRID,TRIDENT MICROSYSTEMS INC,TRID,3,89591910,4.43,32005.0,0.006818,4.33,4.5,13336.0,39.0,-0.008931,59078.48,2001,10,200110,0.03850509626274064,0.5417370250554856,141782.15,,,,,,
78208,2000-12-14,TRID,TRIDENT MICROSYSTEMS INC,TRID,3,89591910,5.125,78070.0,0.012346,5.125,5.15625,12920.0,76.0,-0.013284,66215.0,2000,12,200012,0.0060790273556231,1.1790379823302877,400108.75,,,,,,
82848,1999-02-26,TTP,TITAN PHARMACEUTICALS INC DEL,,3,88831410,4.25,12300.0,0.000000,4.0,4.5,13124.0,,0.000586,55777.0,1999,2,199902,0.1176470588235294,0.22052100328092225,52275.0,,,,,,
82848,2000-10-02,TTP,TITAN PHARMACEUTICALS INC DEL,,3,88831410,59.96,777100.0,-0.077538,59.25,60.47,25835.0,,-0.011865,1549066.6,2000,10,200010,0.02038088874039424,0.5016569332784013,46594916.0,,,,,,
82848,2002-05-31,TTP,TITAN PHARMACEUTICALS INC DEL,TTP,3,88831410,3.95,270700.0,-0.059524,3.95,3.96,27642.0,,0.003404,109185.9,2002,5,200205,0.0025284450063210585,2.4792578528912608,1069265.0,,,,,,
76055,1997-08-04,CSBI,CENTURY SOUTH BANKS INC,CSBI,3,15668310,19.0625,0.0,0.0,18.875,19.25,7767.0,0.0,0.003045,148058.4375,1997,8,199708,0.019672131147540985,0.0,0.0,,,,,,
76055,1996-05-29,CSBI,CENTURY SOUTH BANKS INC,CSBI,3,15668310,14.0,3700.0,0.0,13.75,14.5,7762.0,5.0,-0.003026,108668.0,1996,5,199605,0.05309734513274336,0.03404866197960761,51800.0,,,,,,
12140,1997-12-30,GR,GOODRICH B F CO,,1,38238810,41.875,622900.0,0.018237,41.6875,42.0625,54129.0,,0.01069,2266651.875,1997,12,199712,0.008955223880597015,0.2748106168707535,26083937.5,,,,,,
12140,2004-09-14,GR,GOODRICH CORP,GR,1,38238810,31.99,764700.0,-0.003737,31.97,31.98,118734.0,,0.00041900000000000016,3798300.66,2004,9,200409,0.00031274433150904027,0.2013268744238904,24462753.0,,,,,,
12140,1998-11-17,GR,GOODRICH B F CO,,1,38238810,36.875,315200.0,-0.006734,36.75,37.0625,73987.0,,-0.001663,2728270.625,1998,11,199811,0.00846740050804403,0.11553106099949305,11623000.0,,,,,,
12140,2004-07-22,GR,GOODRICH CORP,GR,1,38238810,32.76,940500.0,-0.017102,32.75,32.78,117605.0,,-0.004268999999999999,3852739.8,2004,7,200407,0.0009156111704563143,0.2441119953130497,30810780.0,,,,,,
66384,1996-08-12,WDC,WESTERN DIGITAL CORP,,3,95810210,34.25,305600.0,0.007353,33.375,34.375,43562.0,,0.00025299999999999997,1491998.5,1996,8,199608,0.029520295202952032,0.2048259431896212,10466800.0,,,,,,
75182,1999-05-13,PII,POLARIS INDUSTRIES INC,,1,73106810,38.375,33000.0,0.011531999999999999,38.1875,38.5625,25649.0,,0.006613,984280.375,1999,5,199905,0.009771986970684038,0.03352703237631858,1266375.0,,,,,,
75182,1996-10-25,PII,POLARIS INDUSTRIES INC,,1,73106810,19.5,59600.0,-0.012657999999999999,19.5,19.75,27282.0,,0.00013000000000000002,531999.0,1996,10,199610,0.012738853503184714,0.11203028577121384,1162200.0,,,,,,
76489,1996-12-31,LUFK,LUFKIN INDUSTRIES INC,LUFK,3,54976410,25.0,11000.0,0.010101,24.75,25.25,6558.0,9.0,0.01081,163950.0,1996,12,199612,0.02,0.06709362610551997,275000.0,,,,,,
11896,2001-12-10,MXIM,MAXIM INTEGRATED PRODUCTS INC,MXIM,3,57772K10,58.48,4320167.0,-0.013994,58.45,58.48,322954.0,11452.0,-0.007336,18886349.92,2001,12,200112,0.0005131275121866763,0.2287454705805853,252643366.16,,,,,,
11896,1999-01-25,MXIM,MAXIM INTEGRATED PRODUCTS INC,MXIM,3,57772K10,50.5625,1134230.0,-0.017011,50.5,50.5625,133328.0,1205.0,0.0018149999999999998,6741397.0,1999,1,199901,0.0012368583797155227,0.16824850991567475,57349504.375,,,,,,
38658,2004-01-09,SRP,SIERRA PACIFIC RESOURCES NEW,SRP,1,82642810,7.53,868100.0,0.008032,7.43,7.53,117181.0,,-0.00031299999999999996,882372.93,2004,1,200401,0.013368983957219322,0.9838243791091824,6536793.0,SRP,0.0,1.0,SIERRA PACIFIC RESOURCES,0.0,0.001001
52813,2003-12-22,MENT,MENTOR GRAPHICS CORP,MENT,3,58720010,14.04,1245648.0,0.017391,14.04,14.07,68192.0,3729.0,0.0031,957415.68,2003,12,200312,0.002134471718249814,1.3010524331500402,17488897.919999998,,,,,,
52813,1997-11-26,MENT,MENTOR GRAPHICS CORP,MENT,3,58720010,9.75,309991.0,0.019608,9.75,9.875,65183.0,101.0,0.001513,635534.25,1997,11,199711,0.012738853503184714,0.487764428116974,3022412.25,,,,,,
52813,2004-01-05,MENT,MENTOR GRAPHICS CORP,MENT,3,58720010,15.97,1958372.0,0.090102,15.97,15.97,68277.0,5466.0,0.012936000000000001,1090383.69,2004,1,200401,0.0,1.79603933730887,31275200.84,,,,,,
27828,1999-03-04,HWP,HEWLETT PACKARD CO,,1,42823610,67.4375,4441800.0,-0.019982,67.3125,67.4375,1015098.0,,0.0032159999999999997,68455671.375,1999,3,199903,0.0018552875695732839,0.06488578536711488,299543887.5,,,,,,
27828,1996-02-09,HWP,HEWLETT PACKARD CO,,1,42823610,90.125,1841700.0,-0.009615,90.0,90.375,509955.0,,0.0028640000000000002,45959694.375,1996,2,199602,0.004158004158004158,0.04007206803798508,165983212.5,,,,,,
77284,2002-08-27,NXTL,NEXTEL COMMUNICATIONS INC,NXTL,3,65332V10,8.21,29249080.0,0.051216,8.2,8.21,875018.0,26251.0,-0.010767,7183897.780000001,2002,8,200208,0.0012187690432664915,4.071477754239425,240134946.8,,,,,,
77284,1997-08-26,NXTL,NEXTEL COMMUNICATIONS INC,NXTL,3,65332V10,23.8125,1681764.0,0.0052770000000000004,23.8125,23.9375,224334.0,962.0,0.0020629999999999997,5341953.375,1997,8,199708,0.005235602094240838,0.3148219166177204,40047005.25,,,,,,
86083,2005-07-11,PDII,P D I INC,PDII,3,69329V10,13.77,92567.0,0.013245,13.82,13.88,14335.0,482.0,0.008990999999999999,197392.95,2005,7,200507,0.004332129963898953,0.4689478524942254,1274647.59,,,,,,
75434,2005-04-25,FSII,F S I INTERNATIONAL INC,FSII,3,30263310,3.5,101737.0,-0.002849,3.5,3.53,30009.0,464.0,0.006645,105031.5,2005,4,200504,0.008534850640113743,0.968633219557942,356079.5,,,,,,
85870,2001-01-19,EXDS,EXODUS COMMUNICATIONS INC,EXDS,3,30208810,22.6875,12223320.0,-0.016260,22.75,22.75,428802.0,17645.0,0.003896,9728445.375,2001,1,200101,0.0,1.2564515221940074,277316572.5,,,,,,
78001,2003-10-21,KEM,KEMET CORP,KEM,1,48836010,13.76,958000.0,0.031484,13.75,13.76,86381.0,,0.004343,1188602.56,2003,10,200310,0.0007270083605961313,0.8059885046857042,13182080.0,,,,,,
78001,2003-12-23,KEM,KEMET CORP,KEM,1,48836010,13.65,517400.0,0.015625,13.64,13.65,86430.0,,0.005755,1179769.5,2003,12,200312,0.0007328691828508455,0.43856024418329176,7062510.0,,,,,,
89310,2006-04-10,PETC,PETCO ANIMAL SUPPLIES INC,PETC,3,71601620,22.54,347260.0,-0.024665,22.53,22.54,57894.0,1883.0,-0.002352,1304930.76,2006,4,200604,0.0004437541601951635,0.266113736180148,7827240.3999999985,PETC,0.0,1.0,PETCO ANIMAL SUPPLIES,0.0,0.000926
83307,1997-08-08,PTEK,PREMIERE TECHNOLOGIES INC,PTEK,1,74058F10,30.0,382905.0,-0.008264,29.625,29.875,31645.0,325.0,-0.007118000000000002,949350.0,1997,8,199708,0.008403361344537815,0.4033338600094802,11487150.0,PTEK,0.0,1.0,PREMIERE TECHNOLOGIE,0.0,0.0781
77310,1998-07-15,EFS,ENHANCE FINANCIAL SERVICES GROUP,,1,29331010,36.875,55200.0,-0.003378,36.4375,37.0,37572.0,,0.0025570000000000002,1385467.5,1998,7,199807,0.015319148936170212,0.03984214714527768,2035500.0,EFS,0.0,1.0,ENHANCE FINANCIAL SV,0.0,0.000893
83241,1996-09-30,BNTT,BARNETT INC,BNTT,3,06806210,23.625,34500.0,0.125000,23.0,23.625,14398.0,19.0,0.002868,340152.75,1996,9,199609,0.02680965147453083,0.10142502155281707,815062.5,,,,,,
81252,1997-09-19,HCIA,H C I A INC,HCIA,3,40390810,13.8125,179020.0,0.062500,13.5,13.8125,11848.0,194.0,0.004594,163650.5,1997,9,199709,0.02288329519450801,1.0939166088707335,2472713.75,,,,,,
81252,1999-03-10,HCIA,H C I A INC,HCIA,3,40390810,3.9375,2056.0,-0.015625,3.9375,4.0,11851.0,9.0,0.0066170000000000005,46663.3125,1999,3,199903,0.015748031496062992,0.04406030969190197,8095.5,,,,,,
85900,2002-07-29,CAO,C S K AUTO CORP,CAO,1,12596510,13.2,441400.0,0.055156,13.2,13.23,32479.0,,0.034948,428722.8,2002,7,200207,0.00227014755959146,1.0295696893190658,5826480.0,,,,,,
84749,2005-08-19,FSBK,FIRST SOUTH BANCORP INC,FSBK,3,33646W10,33.2,9572.0,0.010655,33.19,33.49,6334.0,62.0,0.002111,210288.8,2005,8,200508,0.00899820035992814,0.045518353806764784,317790.4,,,,,,
84749,2001-10-09,FSBK,FIRST SOUTH BANCORP INC,FSBK,3,33646W10,32.0,200.0,0.000000,31.8,32.0,3017.0,1.0,-0.004089,96544.0,2001,10,200110,0.006269592476489006,0.002071594298972489,6400.0,,,,,,
59408,2000-05-26,BAC,BANK OF AMERICA CORP,,1,06050510,54.625,5307699.0,-0.012429,54.375,55.0,1664844.0,,-0.002729,90942103.5,2000,5,200005,0.011428571428571429,0.05836349496798258,289933057.875,,,,,,
78829,2002-03-21,UMBF,U M B FINANCIAL CORP,UMBF,3,90278810,42.32,96811.0,0.023706,42.31,42.32,22060.0,253.0,0.0063549999999999995,933579.2,2002,3,200203,0.0002363228169679313,0.10369875421388997,4097041.52,,,,,,
78829,2001-02-27,UMBF,U M B FINANCIAL CORP,UMBF,3,90278810,38.45313,50385.0,-0.010852,38.4375,38.875,21283.0,54.0,-0.011561,818397.9657899999,2001,2,200102,0.01131770412287793,0.06156540229344696,1937460.95505,,,,,,
34981,2006-03-08,IDC,INTERACTIVE DATA CORP,IDC,1,45840J10,22.38,44200.0,0.0,22.39,22.45,93234.0,,-0.0009480000000000001,2086576.92,2006,3,200603,0.002676181980374608,0.021183019699077283,989196.0,,,,,,
34981,2002-05-23,IDCO,INTERACTIVE DATA CORP,IDCO,1,45840J10,17.88,240776.0,0.024055,17.85,17.88,91067.0,806.0,0.007423999999999998,1628277.96,2002,5,200205,0.0016792611251048185,0.1478715587355859,4305074.88,,,,,,
24628,1997-06-17,CNB,COLONIAL BANCGROUP INC,,1,19549330,23.625,26800.0,0.005319,23.25,23.875,40740.0,,0.000779,962482.5,1997,6,199706,0.026525198938992044,0.02784466211073968,633150.0,,,,,,
24628,2000-07-31,CNB,COLONIAL BANCGROUP INC,,1,19549330,10.75,518900.0,0.036145,10.375,10.8125,110606.0,,0.0072,1189014.5,2000,7,200007,0.04129793510324484,0.4364118351794701,5578175.0,,,,,,
24628,1996-07-31,CNB,COLONIAL BANCGROUP INC,,1,19549330,32.625,2000.0,0.015564,32.375,33.0,13575.0,,0.007409999999999998,442884.375,1996,7,199607,0.019120458891013385,0.004515851343818576,65250.0,,,,,,
24628,2004-09-23,CNB,COLONIAL BANCGROUP INC,CNB,1,19549330,20.17,324800.0,-0.001485,20.18,20.19,133564.0,,-0.00018600000000000002,2693985.8800000004,2004,9,200409,0.0004954173891504365,0.12056484869178305,6551216.000000001,,,,,,
79672,2002-02-06,ZLC,ZALE CORP NEW,ZLC,1,98885810,43.48,323600.0,-0.010919,43.47,43.51,34863.0,,-0.009992000000000001,1515843.24,2002,2,200202,0.0009197516670498769,0.21347853884943932,14070127.999999998,,,,,,
79672,1998-08-17,ZLC,ZALE CORP NEW,,1,98885810,29.1875,54200.0,-0.014768,29.0,29.5,34677.0,,-0.002219,1012134.9375,1998,8,199808,0.017094017094017096,0.05355017200954986,1581962.5,,,,,,
84098,2006-09-27,VTRU,VERTRUE INC,VTRU,3,92534N10,40.21,39237.0,-0.004949,40.09,40.17,9682.0,271.0,0.0036799999999999997,389313.22,2006,9,200609,0.001993521056566117,0.10078517241207477,1577719.77,,,,,,
55001,1996-12-30,TRN,TRINITY INDUSTRIES INC,,1,89652210,37.25,49100.0,0.013605,36.875,37.625,42982.0,,-0.001628,1601079.5,1996,12,199612,0.020134228187919462,0.030666809486974256,1828975.0,TRN,1.0,0.0,TRINITY INDUSTRIES,0.0258,0.0
51377,2003-09-25,NSM,NATIONAL SEMICONDUCTOR CORP,NSM,1,63764010,34.22,4030400.0,-0.007828,34.15,34.16,184720.0,,-0.013231999999999999,6321118.3999999985,2003,9,200309,0.00029278290147849537,0.6376086864628261,137920288.0,,,,,,
51377,1996-03-04,NSM,NATIONAL SEMICONDUCTOR CORP,,1,63764010,15.25,953100.0,-0.016128999999999998,15.0,15.25,122808.0,,0.003036,1872822.0,1996,3,199603,0.016528925619834708,0.5089111511932259,14534775.0,,,,,,
51377,2005-07-26,NSM,NATIONAL SEMICONDUCTOR CORP,NSM,1,63764010,24.81,3342100.0,0.02225,24.8,24.82,349079.0,,0.0034170000000000003,8660649.99,2005,7,200507,0.0008061265618701964,0.3858948235824041,82917501.0,,,,,,
16548,1996-09-16,BOH,BANCORP HAWAII INC,,1,05968510,39.125,81700.0,0.003205,38.875,39.375,40866.0,,0.002124,1598882.25,1996,9,199609,0.012779552715654952,0.05109819688097732,3196512.5,,,,,,
16548,1996-10-25,BOH,BANCORP HAWAII INC,,1,05968510,39.0,27100.0,-0.006369,38.75,39.25,40834.0,,0.00013000000000000002,1592526.0,1996,10,199610,0.01282051282051282,0.01701699061742163,1056900.0,,,,,,
75730,2000-07-03,PRST,PRESSTEK INC,PRST,3,74111310,16.375,59817.0,0.003831,16.375,16.5,32615.0,102.0,0.009012000000000001,534070.625,2000,7,200007,0.0076045627376425855,0.11200204092857567,979503.375,,,,,,
75730,1996-10-01,PRST,PRESSTEK INC,PRST,3,74111310,73.125,166270.0,-0.005102,72.5,74.0,15305.0,424.0,-0.0019100000000000002,1119178.125,1996,10,199610,0.020477815699658702,0.14856437620240298,12158493.75,,,,,,
32054,2005-05-17,ESIO,ELECTRO SCIENTIFIC INDS INC,ESIO,3,28522910,18.2,148598.0,0.017897,18.2,18.18,28555.0,668.0,0.003165,519701.0,2005,5,200505,-0.0010995052226497842,0.2859297942470767,2704483.6,,,,,,
32054,1998-06-12,ESIO,ELECTRO SCIENTIFIC INDS INC,ESIO,3,28522910,30.5,90097.0,-0.024000,30.5,30.625,11461.0,111.0,-0.006332,349560.5,1998,6,199806,0.00408997955010225,0.2577436523863537,2747958.5,,,,,,
32054,1996-12-20,ESIO,ELECTRO SCIENTIFIC INDS INC,ESIO,3,28522910,24.25,19950.0,0.026455,23.625,24.25,8671.0,43.0,0.0017120000000000002,210271.75,1996,12,199612,0.02610966057441253,0.0948772243537232,483787.5,,,,,,
53401,1996-08-05,CMY,COMMUNITY PSYCHIATRIC CENTERS,,1,20401510,8.0,300500.0,0.000000,7.75,8.125,44402.0,,-0.000304,355216.0,1996,8,199608,0.047244094488188976,0.8459641457592,2404000.0,,,,,,
44513,2004-06-04,TNL,TECHNITROL INC,TNL,1,87855510,20.55,89700.0,0.017327000000000002,20.55,20.62,40342.0,,0.006289,829028.1,2004,6,200406,0.0034005343696866786,0.10819898625872874,1843335.0,,,,,,
42534,2006-09-27,JCI,JOHNSON CONTROLS INC,JCI,1,47836610,71.68,899100.0,0.006883,71.61,71.65,195565.0,,0.0036799999999999997,14018099.2,2006,9,200609,0.0005584252408209724,0.06413851030530587,64447488.00000001,,,,,,
42534,2001-11-28,JCI,JOHNSON CONTROLS INC,,1,47836610,79.07,500800.0,-0.01642,78.91,79.1,87281.0,,-0.009929,6901308.669999999,2001,11,200111,0.002404911081577087,0.07256594711912807,39598256.0,,,,,,
