,Date,CUSIP,Ticker,MktValue,Shares,Russell1000,Russell2000,Name,R1000_WT,R2000_WT
109159,19990226,461450108,ITGI,136526.56,3335,N,Y,INVESTMENT TECHNOLO,,0.000172
80705,19980430,740459102,PMI,1884219.0,56456,Y,N,PREMARK INTERNATIONA,0.000205,
100417,19981130,449669100,IGL,2615344.5,114332,Y,N,IMC GLOBAL INC,0.000268,
166826,20001031,577729205,MXTR,495914.06,63477,N,Y,MAXTOR CORP,,0.000546
332638,20050630,989701107,ZION,6594832.17,89689,Y,N,ZIONS BANCORPORATION,0.000546,
102274,19981231,053790101,AVI,642516.75,26564,N,Y,AVIS RENT A CAR INC,,0.000751
148437,20000428,170032106,CQB,162947.62,42051,N,Y,CHIQUITA BRANDS INTL,,0.000174
149600,20000428,640204202,NMG.A,1128725.5,43834,Y,N,NEIMAN MARCUS GROUP,8.9e-05,
246975,20030228,06652B103,BKUNA,375018.8,21320,N,Y,BANKUNITED FINL CORP,,0.000663
99940,19981130,262037104,DRQ,82914.56,5743,N,Y,DRIL-QUIP INC,,0.000102
73283,19980227,048903108,ATE,1069769.0,52504,N,Y,ATLANTIC ENERGY INC,,0.1176
345653,20051130,32054K103,FR,1746364.65,42961,N,Y,FIRST INDUSTRIAL RLTY TR,,0.00143
288220,20040430,093671105,HRB,8079742.32,179112,Y,N,BLOCK H & R INC,0.000754,
364181,20060531,589981109,MRGE,261559.09,20579,N,Y,MERGE TECHNOLOGIES INC,,0.000204
154439,20000630,35921N101,FLCG,516444.5,24232,N,Y,FRONTLINE CAP GROUP,,0.000535
161764,20000831,835495102,SON,1921226.81,99481,Y,N,SONOCO PRODS CO,0.000138,
227309,20020731,46126P106,IMA,111404.25,6651,N,Y,INVERNESS MED INNOVATION,,0.000181
102050,19981231,005125109,ACXM,1590517.0,51307,N,Y,ACXIOM CORP,,0.00186
237907,20021129,017175100,Y,1043770.0,5642,Y,N,ALLEGHANY CORP DEL,0.000117,
95559,19980930,790289102,SJK,269029.5,16684,N,Y,ST JOHN KNITS INC,,0.00036
234046,20020930,747399103,QFAB,73555.26,11694,N,Y,QUAKER FABRIC CORP N,,0.00013
84937,19980630,191219104,CCE,8518060.25,217714,Y,N,COCA-COLA ENTERPRISE,0.000898,
151945,20000531,465855104,IXX,203220.0,20322,N,Y,IVEX PACKAGING CORP,,0.00023
200435,20011030,203607106,CBU,277742.5,10325,N,Y,COMMUNITY BK SYS INC,,0.000398
122201,19990730,013104104,ABS,21409813.0,430348,Y,N,ALBERTSONS INC,0.001908,
210201,20020131,58446K105,MCCC,566260.84,31529,Y,N,MEDIACOM COMMUNICATI,5.4e-05,
160498,20000831,39787M108,GREY,357520.0,656,N,Y,GREY GLOBAL GROUP IN,,0.000358
47919,19970530,397624107,GBCOA,,18094,N,Y,GREIF BROS CORP  -CL,,0.0703
130871,19990930,950817106,WSC,384007.0,1417,Y,N,WESCO FINL CORP,3.6e-05,
214335,20020228,98974P100,ZIXI,50216.35,12713,N,Y,ZIXIT CORP,,6.5e-05
122160,19990730,00650M104,ADAP,333496.31,14781,N,Y,ADAPTIVE BROADBAND C,,0.00038
99420,19981130,067806109,B,455554.69,14725,N,Y,BARNES GROUP INC,,0.000562
238506,20021129,22025Y407,CXW,501450.6,28014,N,Y,CORRECTIONS CORP OF,,0.000789
46751,19970430,983051103,WYL,,12853,N,Y,WYLE ELECTRONICS,,0.0668
251633,20030331,720279108,PIR,1494202.32,94212,Y,N,PIER 1 IMPORTS INC,0.000185,
227795,20020731,668074107,NOR,316709.32,27397,N,Y,NORTHWESTERN CORP,,0.000515
11899,19960531,080555105,BLC,,38745,Y,N,BELO (AH) CORP  -SER,0.027,
65585,19971128,398433102,GFF,472430.81,30357,N,Y,GRIFFON CORP,,0.055
364536,20060531,719364101,PHTN,269778.3,16914,N,Y,PHOTON DYNAMICS INC,,0.000211
155678,20000630,78388J106,SBAC,1235489.25,23788,N,Y,SBA COMMUNICATIONS C,,0.001279
248116,20030228,49446R109,KIM,3089211.6,91668,Y,N,KIMCO REALTY CORP,0.000385,
354502,20060228,294703103,ENN,835455.6,53970,N,Y,EQUITY INNS INC,,0.000641
338734,20050930,023551104,AHC,10738887.5,78101,Y,N,AMERADA HESS CORP,0.000861,
236788,20021031,68750P103,OCA,435691.8,45670,Y,N,ORTHODONTIC CTRS AME,5.2e-05,
259939,20030630,55347W105,MROI,165644.22,19194,N,Y,MRO SOFTWARE INC,,0.000232
218275,20020430,372460105,GPC,5998562.71,173821,Y,N,GENUINE PARTS CO,0.000597,
60203,19970930,570387100,IV,1714678.75,63802,Y,N,MARK IV INDUSTRIES I,0.0218,
19176,19960731,607059102,MOB,,394347,Y,N,MOBIL CORP,0.8228,
252109,20030331,871503108,SYMC,5647953.72,144154,Y,N,SYMANTEC CORP,0.000698,
367340,20060630,67069D108,NTRI,1994373.0,32100,Y,N,NUTRI SYSTEM INC,0.000155,
169652,20001130,546011107,LD,674734.5,20922,N,Y,LOUIS DREYFUS NAT GA,,0.000832
24590,19960930,412824104,HGIC,,6077,N,Y,HARLEYSVILLE GROUP I,,0.0241
189299,20010629,46060X107,ISSX,1685906.08,34718,Y,N,INTERNET SEC SYS INC,0.000148,
220569,20020531,156700106,CTL,4380269.0,141299,Y,N,CENTURYTEL INC,0.00044,
193539,20010731,88554D205,TDSC,113983.4,8027,N,Y,3-D SYS CORP DEL,,0.000141
46349,19970430,868168105,SUP,,20946,N,Y,SUPERIOR INDUSTRIES,,0.0763
47841,19970530,364730101,GCI,,141097,Y,N,GANNETT CO,0.1876,
112325,19990331,595626102,MDS,563436.75,16882,N,Y,MIDAS CORP,,0.000705
252226,20030331,896263100,TRMS,615970.44,14958,N,Y,TRIMERIS INC,,0.001078
54927,19970731,775741101,RLC,550836.12,37031,N,Y,ROLLINS TRUCK LEASIN,,0.0664
151437,20000531,270319106,EGR,699682.5,42405,N,Y,EARTHGRAINS CO,,0.000792
381239,20061130,313586109,FNM,55329650.55,970185,Y,N,FEDERAL NATL MTG ASSOC,0.003931,
67650,19971231,077459105,BWC,852909.0,24196,N,Y,BELDEN INC,,0.0977
6040,19960329,045487105,ASBC,,16501,N,Y,ASSOCIATED BANC CORP,,0.1089
200222,20011030,122014103,BR,7854609.5,210862,Y,N,BURLINGTON RES INC,0.0008,
217365,20020430,03073E105,ABC,7724192.5,99667,Y,N,AMERISOURCEBERGEN CO,0.000768,
225968,20020731,00826T108,AFFX,899104.5,50370,Y,N,AFFYMETRIX INC,0.000103,
125059,19990730,98388N105,XCED,209232.63,11122,N,Y,XCEED INC,,0.000239
272715,20031031,852891100,SFG,1832737.4,29068,Y,N,STANCORP FINANCIAL GROUP,0.00018,
92216,19980831,676255102,OLOG,196713.0,21857,N,Y,OFFSHORE LOGISTICS,,0.000283
53805,19970731,374265106,GGO,865580.62,25935,N,Y,GETCHELL GOLD CORP,,0.1044
15997,19960628,532791100,LNCR,,27819,Y,N,LINCARE HOLDINGS INC,0.0196,
103034,19981231,345206106,FEN,39763.5,15148,N,Y,FORCENERGY INC,,4.6e-05
329045,20050531,811054204,SSP,3218584.6,62986,Y,N,SCRIPPS E W CO,0.000271,
328852,20050531,74373W103,PRVD,107276.62,4642,N,Y,PROVIDE COMMERCE INC,,9.9e-05
196699,20010831,92552R109,VVI,2201336.3,83701,Y,N,VIAD CORP,0.000209,
37352,19970131,761339100,RXR,,46277,Y,N,REVCO D.S. INC,0.0266,
316553,20050131,670837103,OGE,2291289.15,87621,Y,N,OGE ENERGY CORP,0.000196,
209905,20020131,459200101,IBM,185855845.38,1722642,Y,N,INTERNATIONAL BUSINE,0.017734,
15750,19960628,448924100,ICN,,31331,N,Y,ICN PHARMACEUTICALS,,0.1119
90520,19980831,045327103,AZPN,502482.94,21213,N,Y,ASPEN TECHNOLOGY IN,,0.000722
256975,20030530,552880106,MOGN,504417.54,25058,N,Y,MGI PHARMA INC,,0.000731
33415,19961231,404681108,HDCO,,8640,N,Y,HADCO CORP,,0.061
144221,20000229,695112102,PHSY,1700589.31,37427,Y,N,PACIFICARE HEALTH SY,0.000142,
120216,19990630,359694106,FULL,908498.63,13287,N,Y,FULLER (H. B.) CO,,0.000996
326218,20050429,868733106,SURW,297475.75,14575,N,Y,SUREWEST COMMUNICATIONS,,0.000292
235635,20021031,252826102,DIAN,339240.0,8481,N,Y,DIANON SYS INC,,0.000581
105163,19990129,05366B102,AVL,218052.0,18171,N,Y,AVIALL INC,,0.000253
320053,20050228,83001P109,PKS,414967.32,93042,N,Y,SIX FLAGS INC,,0.000375
65134,19971128,220256101,CXC,2906491.75,83942,Y,N,CORRECTIONS CORP OF,0.0367,
237762,20021031,976657106,WEC,2649180.36,115282,Y,N,WISCONSIN ENERGY COR,0.000314,
184921,20010430,913066106,UTVI,495036.21,3999,N,Y,UNITED TELEVISION IN,,0.00057
71067,19980130,292562105,WIRE,226090.12,8259,N,Y,ENCORE WIRE CORP,,0.0265
235227,20021031,101137107,BSX,11915953.43,316661,Y,N,BOSTON SCIENTIFIC CO,0.001414,
57166,19970829,522016104,LRI,203481.25,9302,N,Y,LEARONAL INC,,0.024
143218,20000229,292973104,ENC,97715.5,13478,N,Y,ENESCO GROUP INC,,9.1e-05
48546,19970530,638620104,NHP,,41800,N,Y,NATIONWIDE HEALTH PP,,0.1247
361850,20060428,81111T102,SCST,398542.17,15171,N,Y,SCS TRANSPORTATION INC,,0.000292
295338,20040630,568427108,MPX,160438.95,8649,N,Y,MARINE PRODUCTS CORP,,0.000155
301119,20040831,494274103,KBALB,294399.2,21647,N,Y,KIMBALL INTERNATIONAL,,0.000309
150035,20000428,78463B101,SONE,2771295.31,51025,N,Y,S1 CORPORATION,,0.002963
55037,19970731,822440103,SHEL,202770.75,8913,N,Y,SHELDAHL INC,,0.0245
306537,20041029,29264F205,ENDP,1022812.4,46918,Y,N,ENDO PHARMACEUTICALS,9.1e-05,
194550,20010831,20854P109,CNX,535704.0,20604,Y,N,CONSOL ENERGY INC,5.1e-05,
290643,20040430,92931B106,WPS,1657772.28,36188,Y,N,WPS RESOURCES CORP,0.000155,
82173,19980529,216640102,RON,3124761.5,52517,Y,N,COOPER CAMERON CORP,0.000347,
142043,20000131,890516107,TR,1053108.0,33432,Y,N,TOOTSIE ROLL INDS IN,8.8e-05,
47355,19970530,172908105,CTAS,,30055,Y,N,CINTAS CORP,0.0268,
320346,20050228,90333L102,RMIX,132118.75,21139,N,Y,U S CONCRETE INC,,0.000119
343051,20051031,465741106,ITRI,1010879.6,23260,N,Y,ITRON INC,,0.000867
169868,20001130,630075109,NGEN,148561.87,14406,N,Y,NANOGEN INC,,0.000183
216984,20020328,909214108,UIS,4062717.36,321672,Y,N,UNISYS CORP,0.000381,
229461,20020830,169905106,CHH,518018.22,22338,N,Y,CHOICE HOTELS INTL I,,0.000847
93609,19980930,091250100,BIR,219948.13,27710,N,Y,BIRMINGHAM STEEL COR,,0.000294
258006,20030530,891027104,TMK,4689240.4,121420,Y,N,TORCHMARK CORP,0.000509,
172885,20001229,68370M100,OMKT,39329.06,35958,N,Y,OPEN MKT INC,,4.5e-05
54403,19970731,601073109,MIL,1917339.81,43391,Y,N,MILLIPORE CORP,0.0243,
354622,20060228,343412102,FLR,7472285.5,86585,Y,N,FLUOR CORP,0.000577,
225340,20020628,829226109,SBGI,447778.24,30754,N,Y,SINCLAIR BROADCAST G,,0.000618
154926,20000630,535555106,LNN,241642.62,12313,N,Y,LINDSAY MFG CO,,0.00025
226755,20020731,26874Q100,ESV,3499443.75,135375,Y,N,ENSCO INTL INC,0.000402,
187713,20010531,918866104,VCI,1817623.05,53381,Y,N,VALASSIS COMMUNICATI,0.000161,
343212,20051031,532192101,LIFE,404217.0,12249,N,Y,LIFELINE SYSTEMS INC,,0.000346
63617,19971031,74339P101,PSDI,227596.25,9842,N,Y,PROJECT SOFTWARE & D,,0.0263
69342,19971231,725790208,PRY A,933880.12,13413,Y,N,PITTWAY CORP/DE  -CL,0.000116,
155591,20000630,750459109,RSYS,803863.75,14165,N,Y,RADISYS CORP,,0.000832
255368,20030430,97650W108,WTFC,445876.8,14667,N,Y,WINTRUST FINANCIAL C,,0.000715
340584,20050930,67622P101,OMX,2239037.33,70699,Y,N,OFFICEMAX INC,0.00018,
210302,20020131,628778102,NBTB,330969.6,24336,N,Y,NBT BANCORP INC,,0.000415
278127,20031231,696077304,PTN,111670.0,44668,N,Y,PALATIN TECHNOLOGIES INC,,0.000126
185459,20010531,091797100,BDK,3222474.45,81273,Y,N,BLACK & DECKER CORP,0.000285,
211967,20020228,152312104,CTX,3577170.84,61211,Y,N,CENTEX CORP,0.000349,
375630,20060929,448407106,HTCH,539419.5,25650,N,Y,HUTCHINSON TECHNOLOGY,,0.000424
123925,19990730,632587101,NBAK,421316.0,15047,N,Y,NATIONAL BANCORP ALA,,0.00048
281613,20040130,869099101,SUSQ,1003380.75,39675,N,Y,SUSQUEHANNA BANCSHARES,,0.00109
46524,19970430,90338F100,USRX,,88171,Y,N,U S ROBOTICS CORP,0.0681,
5811,19960229,989701107,ZION,,14540,N,Y,ZIONS BANCORPORATION,,0.1903
89350,19980731,705904100,PGTV,194532.75,8367,N,Y,PEGASUS COMMUNICATIO,,0.000226
356931,20060331,110122108,BMY,48094215.55,1954255,Y,N,BRISTOL MYERS SQUIBB,0.003674,
355593,20060228,69840W108,PNRA,1912582.26,26991,Y,N,PANERA BREAD CO,0.000148,
54605,19970731,68212D102,OMPT,445027.19,29063,N,Y,OMNIPOINT CORP,,0.0537
120227,19990630,362418105,GBP,631761.38,26187,N,Y,GABLES RESIDENTIAL T,,0.000692
180176,20010330,21887F100,CRXA,322400.0,40300,N,Y,CORIXA CORP,,0.000399
105004,19990129,019512102,ALD,21841950.0,560050,Y,N,ALLIEDSIGNAL INC,0.002049,
360113,20060428,18451C109,CCO,826000.0,35000,Y,N,CLEAR CHANNEL OUTDOOR,6.3e-05,
301085,20040831,481165108,JOYG,1541051.33,50843,N,Y,JOY GLOBAL INC,,0.001616
341351,20050930,90333H101,USIH,588927.63,45337,N,Y,U S I HOLDINGS CORP,,0.000488
288917,20040430,353523202,FNFN,104028.51,3291,N,Y,FRANKLIN FINANCIAL CORP,,0.000117
160483,20000831,383486107,GNET,1887978.0,27362,N,Y,GO2NET INC,,0.001891
252459,20030331,972463103,WLSN,56054.32,14084,N,Y,WILSONS THE LEATHER,,9.8e-05
229979,20020830,363576109,AJG,2493108.48,86088,Y,N,GALLAGHER ARTHUR J &,0.000285,
170906,20001130,94106L109,WMI,14880339.94,621633,Y,N,WASTE MGMT INC DEL,0.001258,
29710,19961129,12232C108,BPP,,17084,N,Y,BURNHAM PACIFIC PPTY,,0.0324
331191,20050630,50540L105,LABS,695082.6,17460,N,Y,LABONE INC,,0.000601
182374,20010430,00339B107,ABGX,2600062.5,69335,Y,N,ABGENIX INC,0.00023,
336405,20050831,235811106,DCN,2022445.76,150256,Y,N,DANA CORP,0.000164,
197592,20010928,23329J104,DQE,1075285.12,55888,N,Y,DQE INC,,0.001602
303556,20040930,293848107,ENTU,160824.51,63567,N,Y,ENTRUST INC,,0.00016
109027,19990226,435758305,HOC,71442.94,5687,N,Y,HOLLY CORP,,9e-05
323175,20050331,862685104,SSYS,259956.08,9176,N,Y,STRATASYS INC,,0.00024
236503,20021031,57772K101,MXIM,10281677.28,322917,Y,N,MAXIM INTEGRATED PRO,0.00122,
70981,19980130,252499108,DLGC,328306.5,8964,N,Y,DIALOGIC CORP,,0.0385
351768,20060131,388688103,GPK,177183.52,65141,N,Y,GRAPHIC PACKAGING CORP,,0.000135
25839,19960930,855244109,SBUX,,75688,Y,N,STARBUCKS CORP,0.0437,
266056,20030829,602682106,MND,314233.92,89271,N,Y,MINDSPEED TECHNOLOGIES,,0.000398
281671,20040130,880770102,TER,4974859.1,184939,Y,N,TERADYNE INC,0.000454,
155505,20000630,741113104,PRST,452737.12,27754,N,Y,PRESSTEK INC,,0.000469
206822,20011231,406216101,HAL,5624629.1,429361,Y,N,HALLIBURTON CO,0.000529,
302589,20040831,989513205,ZILA,183627.0,45340,N,Y,ZILA INC,,0.000193
311193,20041130,871630109,SYNM,194504.31,28067,N,Y,SYNTROLEUM CORP,,0.000175
189752,20010629,64110P107,NETE,700230.0,23341,N,Y,NETEGRITY INC,,0.000819
165622,20001031,117043109,BC,1598326.19,82229,Y,N,BRUNSWICK CORP,0.000122,
310864,20041130,758110100,RBK,2044660.32,52589,Y,N,REEBOK INTERNATIONAL LTD,0.000176,
265170,20030829,28224R101,EFDS,596997.5,46750,N,Y,EFUNDS CORP,,0.000757
95038,19980930,628850109,NCH,127966.88,2085,N,Y,NCH CORP,,0.000171
23817,19960930,125539106,CIP,,31924,Y,N,CIPSCO INC,0.0199,
16754,19960628,802012104,SFR,,80312,Y,N,SANTA FE ENERGY RESO,0.0171,
311529,20041130,966612103,WTNY,1873745.4,40610,Y,N,WHITNEY HOLDING CORP,0.000161,
299386,20040730,90333E108,USU,711827.07,83843,N,Y,USEC INC,,0.000742
57734,19970829,737464107,PPS,825501.75,22124,N,Y,POST PROPERTIES INC,,0.0973
296428,20040630,91018B104,UDI,1633520.0,46672,Y,N,UNITED DEFENSE INDS INC,0.000144,
222893,20020531,989929104,ZOMX,139346.0,29336,N,Y,ZOMAX INC MINN,,0.000172
91053,19980831,233343102,DVI,141936.0,8871,N,Y,DVI INC,,0.000204
358888,20060331,811054204,SSP,3644625.07,81517,Y,N,SCRIPPS E W CO,0.000278,
247233,20030228,171046105,CBK,334568.12,23462,N,Y,CHRISTOPHER & BANKS,,0.000592
93968,19980930,222795106,CUZ,704509.06,25105,N,Y,COUSINS PROPERTIES I,,0.000942
231286,20020830,817492101,SRNA,264486.69,17389,N,Y,SERENA SOFTWARE INC,,0.000432
10057,19960430,459216107,ICTL,,30201,N,Y,INTL CABLETEL INC,,0.1465
374012,20060831,893521104,TRH,1648144.28,26834,Y,N,TRANSATLANTIC HLDGS INC,0.000125,
262250,20030731,30067T103,XLTC,238162.34,9139,N,Y,EXCEL TECHNOLOGY INC,,0.000315
20614,19960830,037917101,APBI,,27085,N,Y,APPLIED BIOSCIENCE I,,0.0417
43727,19970331,922091103,VNTV,,9432,N,Y,VANTIVE CORP,,0.0297
287397,20040331,854231107,SXI,295272.0,10936,N,Y,STANDEX INTERNATIONAL,,0.000314
352343,20060131,592688105,MTD,2483423.11,42899,Y,N,METTLER TOLEDO INTL INC,0.000192,
366435,20060630,32054R108,FINB,331830.44,12748,N,Y,FIRST INDIANA CORP,,0.00026
373936,20060831,876664103,TCO,2126506.2,52780,Y,N,TAUBMAN CENTERS INC,0.000162,
318002,20050228,109178103,BEXP,222188.4,23512,N,Y,BRIGHAM EXPLORATION,,0.000201
266088,20030829,62855J104,MYGN,338290.4,27020,N,Y,MYRIAD GENETICS INC,,0.000429
230951,20020830,713661106,PPHM,56317.86,95454,N,Y,PEREGRINE PHARMACEUT,,9.2e-05
192002,20010731,369550108,GD,16254764.61,200949,Y,N,GENERAL DYNAMICS COR,0.001448,
329656,20050630,001204106,ATG,2980301.5,77110,Y,N,AGL RESOURCES INC,0.000247,
208650,20020131,010317105,ALAB,306962.37,9108,N,Y,ALABAMA NATL BANCORP,,0.000385
126848,19990831,62473C101,MPTH,121692.37,10302,N,Y,MPATH INTERACTIVE IN,,0.000145
106087,19990129,409900107,HKF,156860.88,19762,N,Y,HANCOCK FABRICS INC,,0.000182
295746,20040630,708160106,JCP,9199657.6,243635,Y,N,PENNEY J C INC,0.000813,
207520,20011231,67019E107,NST,2378530.05,53033,Y,N,NSTAR,0.000224,
316133,20050131,50216C108,LYTS,225385.12,19736,N,Y,LSI INDUSTRIES INC,,0.000207
139764,20000131,045327103,AZPN,913391.25,25197,N,Y,ASPEN TECHNOLOGY INC,,0.000984
319892,20050228,760759100,RSG,4888825.83,154173,Y,N,REPUBLIC SERVICES INC,0.00041,
55602,19970731,981443104,WRC,987161.75,34486,N,Y,WORLD COLOR PRESS IN,,0.1191
58653,19970930,009104100,AEIC,1111607.5,30455,N,Y,AIR EXPRESS INTERNAT,,0.1225
34105,19961231,674216106,OAS,,15345,N,Y,OASIS RESIDENTIAL IN,,0.0503
211278,20020131,91819B105,LNUX,75133.74,31047,N,Y,VA SOFTWARE CORP,,9.4e-05
26126,19960930,913066106,UTVI,,4155,N,Y,UNITED TELEVISION IN,,0.0609
376168,20060929,636180101,NFG,3052527.6,83976,Y,N,NATIONAL FUEL GAS CO,0.000227,
108828,19990226,360271100,FULT,1392259.88,62927,Y,N,FULTON FINANCIAL COR,0.000135,
240995,20021231,04033V104,ARBA,655168.88,264181,N,Y,ARIBA INC,,0.00109
316588,20050131,68243Q106,FLWS,162890.7,22162,N,Y,1-800 FLOWERS COM,,0.000149
254666,20030430,75040K109,RGX,58191.4,20066,N,Y,RADIOLOGIX INC,,9.3e-05
267028,20030829,904214103,UMPQ,526694.65,28241,N,Y,UMPQUA HOLDINGS CORP,,0.000668
188089,20010629,037023108,AHR,349168.95,31599,N,Y,ANTHRACITE CAP INC,,0.000408
170898,20001130,93317Q105,WLT,198621.5,32428,N,Y,WALTER INDS INC,,0.000245
80935,19980430,817471105,SEQU,364123.13,30663,N,Y,SEQUUS PHARMACEUTICA,,0.000381
146588,20000331,534187109,LNC,6548345.5,195473,Y,N,LINCOLN NATL CORP IN,0.0005,
100898,19981130,635405103,NCC,22242870.3,330749,Y,N,NATIONAL CITY CORP,0.002281,
157934,20000731,546011107,LD,550576.0,21176,N,Y,LOUIS DREYFUS NAT GA,,0.000592
111723,19990331,370442105,GM,56915487.0,654201,Y,N,GENERAL MOTORS CORP,0.005316,
162870,20000929,172967101,C,246416010.0,4557984,Y,N,CITIGROUP INC,0.018572,
76166,19980331,059438101,ONE,40837425.75,645651,Y,N,BANC ONE CORP,0.004484,
92700,19980831,831690102,SMOD,385184.5,25258,N,Y,SMART MODULAR TECHNO,,0.000553
233547,20020930,58155Q103,MCK,7711964.27,272219,Y,N,MCKESSON CORP,0.00099,
76020,19980331,026494104,AHE,562948.0,21344,N,Y,AMERICAN HEALTH PROP,,0.0592
281107,20040130,707247102,PNG,137029.92,9209,N,Y,PENN-AMERICA GROUP INC,,0.000149
238512,20021129,222372104,CFC,5106001.0,103570,Y,N,COUNTRYWIDE FINANCIAL CO,0.000573,
118346,19990528,741914105,PBNK,252814.25,9451,N,Y,PRIME BANCORP INC,,0.000287
54221,19970731,532776101,LNTV,614315.62,12765,Y,N,LIN TELEVISION CORP,0.0078,
355783,20060228,75605L104,RNWK,905275.5,115175,N,Y,REALNETWORKS INC,,0.000695
285903,20040331,307000109,FDO,5398971.0,150180,Y,N,FAMILY DOLLAR STORES,0.000494,
115985,19990430,883655102,TMQ,39582.81,3619,N,Y,THERMOQUEST CORP,,4.6e-05
36002,19970131,266849108,DURI,,24348,N,Y,DURIRON CO INC,,0.0917
300263,20040831,192576106,COHU,338402.1,21445,N,Y,COHU INC,,0.000355
237155,20021031,78503N107,SWS,174889.75,13505,N,Y,SWS GROUP INC,,0.000299
308935,20041130,074014101,BBGI,94576.95,5389,N,Y,BEASLEY BROADCAST GROUP,,8.5e-05
361181,20060428,576206106,MEE,3162845.45,81833,Y,N,MASSEY ENERGY CORP,0.00024,
140230,20000131,222814204,COVD,6408888.75,90585,Y,N,COVAD COMMUNICATIONS,0.000533,
330511,20050630,266233105,DQE,1448503.24,77543,N,Y,DUQUESNE LIGHT HOLDINGS,,0.001252
23483,19960930,01975T105,APY,,59646,Y,N,ALLMERICA PPTY &CASU,0.0303,
267462,20030930,037347101,ANH,530502.0,37150,N,Y,ANWORTH MORTGAGE ASSET,,0.000686
226617,20020731,22284P105,CVTI,113576.22,5897,N,Y,COVENANT TRANS INC,,0.000185
319367,20050228,594918104,MSFT,231038813.02,9175489,Y,N,MICROSOFT CORP,0.019359,
136535,19991130,917327108,USWB,3167192.44,76433,Y,N,USWEB CORP,0.000269,
364381,20060531,674599105,OXY,41705791.92,420888,Y,N,OCCIDENTAL PETE CORP,0.003275,
148837,20000428,319960100,FTFC,171499.5,14913,N,Y,FIRST FED CAP CORP,,0.000183
192062,20010731,390064103,GAP,320390.29,19289,N,Y,GREAT ATLANTIC & PAC,,0.000397
386029,20061229,929297109,WMS,941359.44,27004,N,Y,WMS INDUSTRIES INC,,0.00069
242676,20021231,680223104,ORI,3343060.0,119395,Y,N,OLD REP INTL CORP,0.000398,
380224,20061031,983759101,XMSR,3367734.48,288828,Y,N,XM SATELLITE RADIO HLDGS,0.000243,
151485,20000531,292872108,EAII,115113.37,12038,N,Y,ENGINEERING ANIMATIO,,0.00013
185162,20010531,003654100,ABMD,368007.78,14851,N,Y,ABIOMED INC,,0.000414
331554,20050630,650111107,NYT,4506345.9,144666,Y,N,NEW YORK TIMES CO,0.000373,
26692,19961031,087779104,BTL,,28070,Y,N,BETZDEARBORN INC,0.0251,
331821,20050630,741113104,PRST,330951.52,29236,N,Y,PRESSTEK INC,,0.000286
66106,19971128,594930109,MIAM,507993.12,24335,N,Y,MID AM INC,,0.0591
90464,19980831,032839102,ABCW,405606.25,17780,N,Y,ANCHOR BANCORP INC/W,,0.000583
24535,19960930,381317106,GDW,,49933,Y,N,GOLDEN WEST FINANCIA,0.051,
249561,20030228,983024100,WYE,46751123.25,1326273,Y,N,WYETH,0.005821,
152066,20000531,529898108,LBY,460465.5,15222,N,Y,LIBBEY INC,,0.000521
142132,20000131,907834105,UPR,2772550.0,252050,Y,N,UNION PAC RES GROUP,0.000231,
13617,19960531,741917108,PDQ,,31057,N,Y,PRIME HOSPITALITY CO,,0.0791
17533,19960731,020047106,ALW,,32207,N,Y,ALLWASTE INC,,0.0235
317827,20050228,040157109,AGII,549407.61,23389,N,Y,ARGONAUT GROUP INC,,0.000497
