PERMNO,date,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,PERMCO,HEXCD,CUSIP,PRC,VOL,RET,BID,ASK,SHROUT,NUMTRD,ewretd
81584,2006-07-28,7380,12480510,CBIZ,CBIZ INC,CBIZ,13695,1,12480510,7.3,370627.0,0.029619,7.28,7.3,76287.0,1674.0,0.011783
83875,2006-11-16,8742,45631410,IDSA,INDUSTRIAL SERVICES OF AM INC,IDSA,14932,3,45631410,5.335,4650.0,-0.010204,5.32,5.36,3641.0,19.0,0.000185
84560,1998-08-25,7370.0,74758610,FTSW,QUALIX GROUP INC,FTSW,15331,3,74758610,2.09375,43700.0,0.015152,2.0625,2.125,10676.0,23.0,-0.005698
76055,1997-08-04,6710,15668310,CSBI,CENTURY SOUTH BANKS INC,CSBI,10423,3,15668310,-19.0625,0.0,0.0,18.875,19.25,7767.0,0.0,0.003045
12140,1997-12-30,3011,38238810,GR,GOODRICH B F CO,,20833,1,38238810,41.875,622900.0,0.018237,41.6875,42.0625,54129.0,,0.01069
66384,1996-08-12,3572,95810210,WDC,WESTERN DIGITAL CORP,,4879,3,95810210,34.25,305600.0,0.007353,33.375,34.375,43562.0,,0.00025299999999999997
75182,1999-05-13,3799,73106810,PII,POLARIS INDUSTRIES INC,,21425,1,73106810,38.375,33000.0,0.011531999999999999,38.1875,38.5625,25649.0,,0.006613
37277,2001-03-26,3421,87082710,SABI,SWISS ARMY BRANDS INC,SABI,6603,3,87082710,6.125,7800.0,0.000000,6.125,6.25,8065.0,18.0,0.007494
75269,2005-09-06,6798,26817Q50,DX,DYNEX CAPITAL INC,DX,21478,1,26817Q88,7.22,7300.0,0.001387,7.22,7.26,12163.0,,0.008457
76489,1996-12-31,3530,54976410,LUFK,LUFKIN INDUSTRIES INC,LUFK,10783,3,54976410,25.0,11000.0,0.010101,24.75,25.25,6558.0,9.0,0.01081
83778,1998-03-18,7370,68272R10,OWAV,ONEWAVE INC,OWAV,14800,3,74162010,2.53125,135600.0,0.094595,2.5,2.53125,14392.0,52.0,0.002996
88984,2006-03-08,6011.0,91146010,UBFO,UNITED SECURITY BANKSHARES,UBFO,41564,3,91146010,39.956,1999.0,0.001153,39.47,39.99,5687.0,4.0,-0.0009480000000000001
11896,2001-12-10,3670,57772K10,MXIM,MAXIM INTEGRATED PRODUCTS INC,MXIM,9698,3,57772K10,58.48,4320167.0,-0.013994,58.45,58.48,322954.0,11452.0,-0.007336
19880,2000-11-20,1623,57632310,MTZ,MASTEC INC,,678,1,57632310,29.4375,165000.0,-0.063618,,,47302.0,,-0.020682
78051,2006-05-23,2834,74835Y10,QSC,QUESTCOR PHARMACEUTICALS INC,QSC,11786,3,74835Y10,1.69,52900.0,0.018072,1.67,1.7,54844.0,,-0.000263
88490,2004-06-18,1311,71654V40,PBR,PETROLEO BRASILEIRO SA PETROBRAS,PBR,38393,1,71654V40,26.85,621800.0,-0.005556,26.86,26.92,163441.0,,-0.000301
29867,2006-02-03,5159,01877210,AOI,ALLIANCE ONE INTERNATIONAL INC,AOI,1263,1,74737V10,4.15,116200.0,0.000000,4.15,4.16,94989.0,,-0.0020559999999999997
86315,1999-07-08,6020,06644210,BKFR,BANKFIRST CORP,BKFR,16270,3,06644210,9.25,15550.0,0.013699,9.1875,9.25,11376.0,23.0,0.0024219999999999997
90803,2006-12-19,4813.0,20903410,CNSL,CONSOLIDATED COMMS HLDGS INC,CNSL,47009,3,20903410,19.68,138780.0,0.013388,19.67,19.7,26004.0,725.0,-5e-05
38658,2004-01-09,4931,82642810,SRP,SIERRA PACIFIC RESOURCES NEW,SRP,21269,1,67073Y10,7.53,868100.0,0.008032,7.43,7.53,117181.0,,-0.00031299999999999996
76745,2000-04-19,5461,46072H10,IBC,INTERSTATE BAKERIES CORP DE NEW,,11041,1,46072H10,13.3125,299900.0,-0.004673,,,68355.0,,0.011476
85018,2000-06-29,3570.0,28201210,EFAX,EFAX COM,EFAX,15517,3,28201210,1.15625,133535.0,0.000000,1.125,1.1875,13191.0,151.0,-0.001189
52813,2003-12-22,7372,58720010,MENT,MENTOR GRAPHICS CORP,MENT,6791,3,58720010,14.04,1245648.0,0.017391,14.04,14.07,68192.0,3729.0,0.0031
76842,1998-11-24,7370,04314L10,ASFT,ARTISOFT INC,ASFT,11119,3,04314L20,2.625,75440.0,-0.045455,2.625,2.6875,14660.0,50.0,-0.003271
68567,1996-08-08,7011,80190410,SGM,SANTA FE GAMING CORP,,6081,2,80190410,2.625,600.0,0.0,2.5,3.0,6195.0,,0.001626
84080,1997-12-26,6150,38740H10,GFNL,GRANITE FINANCIAL INC,GFNL,15074,3,38740H10,17.5625,2610.0,0.003571,17.5,17.75,3725.0,2.0,0.001829
75049,2006-02-14,4813,87938220,TEF,TELEFONICA S A,TEF,21724,1,87938220,46.74,219000.0,0.011907,46.72,46.74,70852.0,,0.006873000000000001
27828,1999-03-04,3571,42823610,HWP,HEWLETT PACKARD CO,,20908,1,40434L10,67.4375,4441800.0,-0.019982,67.3125,67.4375,1015098.0,,0.0032159999999999997
80659,1999-07-08,3940,75445910,RAWL,RAWLINGS SPORTING GOODS INC,RAWL,13186,3,75445910,9.78125,9210.0,-0.027950,9.78125,9.9375,7803.0,19.0,0.0024219999999999997
80161,1997-03-03,3710.0,24476410,TRUX,DEFLECTA SHIELD CORP,TRUX,12786,3,24476410,9.25,3100.0,0.000000,9.0,9.5,4800.0,7.0,-0.001439
90534,2005-04-01,6712,17292210,CZNC,CITIZENS & NORTHERN CORP,CZNC,46103,3,17292210,27.35,5582.0,-0.040687,27.36,27.49,8209.0,29.0,-0.003858
80467,1998-07-30,6030.0,73023410,PFSL,POCAHONTAS BANCORP INC,PFSL,12971,3,73023410,9.375,2500.0,0.000000,9.25,9.5,6685.0,3.0,0.005252000000000001
80479,1998-12-30,2320.0,84892510,SPOR,SPORT HALEY INC,SPOR,12972,3,84892510,8.625,76000.0,0.000000,8.625,8.875,4427.0,34.0,0.0055119999999999995
56602,2001-05-25,2015,12770310,CGL,CAGLES INC,,20376,2,12770310,11.0,5900.0,0.06796100000000001,10.8,11.1,4747.0,,0.0026620000000000003
86314,2006-01-13,6351,G9825510,XL,X L CAPITAL LTD,XL,34859,1,G9829410,71.13,1298700.0,-0.002244,71.1,71.14,174422.0,,0.002924
79587,1997-11-07,1310,02926U30,GASS,AMERICAN RESOURCES DEL INC,GASS,12447,3,02928010,3.4375,92460.0,-0.067797,3.375,3.5,10194.0,56.0,-0.01315
76184,2001-11-15,6726,88290510,,THAI CAPITAL FUND INC,,26075,2,88290520,,,B,,,6279.0,,0.000384
83398,2002-08-30,4841,98781910,YSTM,YOUTHSTREAM MEDIA NETWORKS INC,YSTM,14500,3,98781910,0.1099,85300.0,-0.084167,0.1,0.11,33591.0,24.0,0.0026420000000000003
77284,2002-08-27,4810,65332V10,NXTL,NEXTEL COMMUNICATIONS INC,NXTL,11313,3,65332V10,8.21,29249080.0,0.051216,8.2,8.21,875018.0,26251.0,-0.010767
86083,2005-07-11,7380,69329V10,PDII,P D I INC,PDII,16119,3,46062X30,13.77,92567.0,0.013245,13.82,13.88,14335.0,482.0,0.008990999999999999
75434,2005-04-25,3550,30263310,FSII,F S I INTERNATIONAL INC,FSII,10087,3,30263310,3.5,101737.0,-0.002849,3.5,3.53,30009.0,464.0,0.006645
81652,1998-08-06,6710.0,30252610,FNBF,F N B FINANCIAL SERVICES CORP,FNBF,13708,3,30252610,23.1875,1506.0,0.008152,23.0,23.75,3406.0,4.0,0.009741
58771,1999-06-01,3545,75875010,RBC,REGAL BELOIT CORP,,3840,1,75875010,24.8125,48200.0,0.067204,,,20951.0,,-0.002463
85870,2001-01-19,7372,30208810,EXDS,EXODUS COMMUNICATIONS INC,EXDS,16018,3,30208810,22.6875,12223320.0,-0.016260,22.75,22.75,428802.0,17645.0,0.003896
89059,2004-08-25,6726,46428749,IWR,ISHARES TRUST,IWR,37493,4,46428749,68.16,27800.0,0.009030,68.03,68.13,10950.0,,0.007774
89799,2004-06-24,6022.0,60902N10,MNRK,MONARCH BANK CHESAPEAKE VA,MNRK,44175,3,60907Q10,-13.79,0.0,0.000363,13.58,14.0,2381.0,0.0,0.001372
42893,1996-09-17,8731,44589120,HTD,HUNTINGDON INTERNATIONAL HDG PLC,,6073,1,44589130,7.375,14400.0,0.017241,7.25,7.5,9912.0,,-0.00043099999999999996
79028,1998-02-19,4510,75974110,RENO,RENO AIR INC,RENO,11543,3,75974110,5.4375,83979.0,-0.033333,5.375,5.5,10542.0,95.0,0.0016359999999999999
78056,2001-09-19,6726,62629L10,MCA,MUNIYIELD CA INSURED FD II INC,,29697,1,09254N10,14.15,40400.0,-0.010490000000000001,14.15,14.23,18359.0,,-0.024003999999999998
29621,2005-06-03,1610,25158810,DEVC,DEVCON INTERNATIONAL CORP,DEVC,1298,3,25158810,11.86,100.0,-0.009190,11.7,12.19,5827.0,1.0,-0.002503
48020,2006-10-30,2341,62459110,MSI,MOVIE STAR INC N Y,MSI,21563,2,35582T10,0.78,800.0,0.012987,0.78,0.81,15766.0,,0.001295
78001,2003-10-21,3675,48836010,KEM,KEMET CORP,KEM,11757,1,48836020,13.76,958000.0,0.031484,13.75,13.76,86381.0,,0.004343
80829,2002-10-11,2873,60528820,GRO,MISSISSIPPI CHEMICAL CORP,GRO,27394,1,60528820,0.56,85300.0,-0.017544,0.55,0.56,26161.0,,0.025612
37234,2001-05-04,1311,34609170,FST,FOREST OIL CORP,,1807,1,34609170,31.24,177300.0,0.012970,,,48481.0,,0.010745999999999999
69526,1999-10-19,7373,55262020,NOW,M A I SYSTEMS CORP,,21127,2,55262020,0.875,38200.0,0.000000,,,10907.0,,0.004566
89310,2006-04-10,5999,71601620,PETC,PETCO ANIMAL SUPPLIES INC,PETC,12929,3,71601620,22.54,347260.0,-0.024665,22.53,22.54,57894.0,1883.0,-0.002352
88458,2001-02-21,3674,68212810,OVTI,OMNIVISION TECHNOLOGIES INC,OVTI,37949,3,68212810,5.5,102585.0,0.011494,5.5,5.5625,21986.0,59.0,-0.015702
83307,1997-08-08,4890,74058F10,PTEK,PREMIERE TECHNOLOGIES INC,PTEK,14408,1,74058510,30.0,382905.0,-0.008264,29.625,29.875,31645.0,325.0,-0.007118000000000001
84442,1997-12-04,6710.0,94429310,WNNB,WAYNE BANCORP INC OHIO,WNNB,15265,3,94429310,47.5,4855.0,-0.010417,47.0,48.0,3936.0,7.0,0.000602
87639,2003-04-01,3820,88343A10,TWAV,THERMA WAVE INC,TWAVE,17938,3,88343A10,0.46,111722.0,0.092637,0.46,0.47,29091.0,85.0,0.005803
77310,1998-07-15,6331,29331010,EFS,ENHANCE FINANCIAL SERVICES GROUP,,29435,1,29331010,36.875,55200.0,-0.003378,36.4375,37.0,37572.0,,0.0025570000000000002
89368,2003-12-17,6798.0,42725M10,HTG,HERITAGE PROPERTY INVEST TR INC,HTG,43013,1,42725M10,28.75,133400.0,0.000000,28.7,28.75,42120.0,,0.001254
75585,2001-03-26,3070,43730510,HPII,HOME PRODUCTS INTERNATIONAL INC,HPII,9964,3,43730510,1.125,14700.0,-0.064935,1.1875,1.25,7746.0,2.0,0.007494
80046,2000-08-29,6150,87238810,TFCE,TFC ENTERPRISES INC,TFCE,12725,3,87238810,1.625,2800.0,-0.161290,1.625,1.875,11434.0,5.0,0.004756
85420,2001-02-22,6726,16090810,CHC,CHARTER MUNICIPAL MTG ACCPTNCE C,,32103,1,15188T10,14.85,28700.0,-0.002016,,,20583.0,,-0.010745000000000001
84017,2002-09-10,6726,08857710,BXL,BEXIL CORP,BXL,31755,2,08857710,-10.75,0.0,-0.003707,10.7,10.8,851.0,,0.0028
85281,1999-06-08,3520,12596010,CTBC,C T B INTERNATIONAL CORP,CTBC,15664,3,12596010,8.75,2069.0,0.052632,7.9375,8.75,12015.0,5.0,-0.0033229999999999996
88273,2004-03-16,3710,98912M20,,ZAP,,37536,4,98912M20,,,B,,,7410.0,,-0.00122
83241,1996-09-30,5070,06806210,BNTT,BARNETT INC,BNTT,14484,3,06806210,23.625,34500.0,0.125000,23.0,23.625,14398.0,19.0,0.002868
87809,2000-05-30,6030,20754010,SBMC,CONNECTICUT BANCSHARES INC,SBMC,18344,3,20754010,13.125,112337.0,0.000000,13.125,13.1875,11232.0,48.0,0.021615000000000002
81252,1997-09-19,7380,40390810,HCIA,H C I A INC,HCIA,13583,3,40390810,13.8125,179020.0,0.062500,13.5,13.8125,11848.0,194.0,0.004594
85900,2002-07-29,5531,12596510,CAO,C S K AUTO CORP,CAO,34677,1,12596510,13.2,441400.0,0.055156,13.2,13.23,32479.0,,0.034948
89570,2004-10-04,4449,57333110,MMLP,MARTIN MIDSTREAM PARTNERS LP,MMLP,43686,3,57333110,28.79,9300.0,0.009113,28.71,28.8,4223.0,32.0,0.005085
89190,2005-11-21,6726,46428739,ILF,ISHARES TRUST,ILF,37493,4,46428739,122.83,246400.0,0.013867,122.35,122.39,7200.0,,0.006370000000000001
84749,2005-08-19,6020,33646W10,FSBK,FIRST SOUTH BANCORP INC,FSBK,15426,3,33646W10,33.2,9572.0,0.010655,33.19,33.49,6334.0,62.0,0.002111
75447,2006-08-23,3560,05603210,BTUI,B T U INTERNATIONAL INC,BTUI,10104,3,05603210,10.67,115682.0,-0.039604,10.63,10.67,9165.0,544.0,-0.00609
79272,2001-02-15,3312,44566110,HCO,HUNTCO INC,,12246,1,44566110,1.35,300.0,0.018868,,,5292.0,,0.009292
79413,1997-03-27,3570,72346910,PNCL,PINNACLE MICRO INC,PNCL,12250,3,72346910,2.5625,102470.0,0.000000,2.4375,2.5625,11931.0,70.0,-0.007486
80375,2001-11-19,5050,68162K10,ZEUS,OLYMPIC STEEL INC,ZEUS,12908,3,68162K10,2.8,17883.0,0.018182,2.74,2.8,9631.0,34.0,0.011593000000000001
59408,2000-05-26,6021,06050510,BAC,BANK OF AMERICA CORP,,3151,1,06050510,54.625,5307699.0,-0.012429,54.375,55.0,1664844.0,,-0.002729
75433,2003-08-08,7363,00209C10,AHN,A T C HEALTHCARE INC,AHN,6387,2,00209C10,0.85,42700.0,0.062500,0.85,0.9,23616.0,,0.0016899999999999999
78829,2002-03-21,6020,90278810,UMBF,U M B FINANCIAL CORP,UMBF,4673,3,90278810,42.32,96811.0,0.023706,42.31,42.32,22060.0,253.0,0.0063549999999999995
34981,2006-03-08,6289,45840J10,IDC,INTERACTIVE DATA CORP,IDC,5599,1,45840J10,22.38,44200.0,0.0,22.39,22.45,93234.0,,-0.0009480000000000001
24628,1997-06-17,6021,19549330,CNB,COLONIAL BANCGROUP INC,,4128,1,19549330,23.625,26800.0,0.005319,23.25,23.875,40740.0,,0.000779
87576,2001-04-02,3570,87263U10,TRSI,T R SYSTEMS INC,TRSI,17864,3,87263U10,3.75,41904.0,-0.016393,3.75,3.8125,12241.0,52.0,-0.021403
79672,2002-02-06,5944,98885810,ZLC,ZALE CORP NEW,ZLC,12317,1,98885810,43.48,323600.0,-0.010919,43.47,43.51,34863.0,,-0.009992000000000001
84098,2006-09-27,7389,92534N10,VTRU,VERTRUE INC,VTRU,15056,3,92534N10,40.21,39237.0,-0.004949,40.09,40.17,9682.0,271.0,0.0036799999999999997
75803,1998-03-09,6726,62621P10,TFC,MUNICIPAL INCOME TRUST III,,22100,1,62621P10,9.3125,3100.0,-0.006667,9.0625,9.625,6379.0,,-0.002388
79714,1996-03-05,6020,58843810,MBIA,MERCHANTS BANCORP INC IL,MBIA,12469,3,58843810,28.375,3200.0,-0.013043,28.0,29.0,2573.0,5.0,0.002146
55001,1996-12-30,3499,89652210,TRN,TRINITY INDUSTRIES INC,,21783,1,89652210,37.25,49100.0,0.013605,36.875,37.625,42982.0,,-0.001628
51377,2003-09-25,3674,63764010,NSM,NATIONAL SEMICONDUCTOR CORP,NSM,21261,1,63764010,34.22,4030400.0,-0.007828,34.15,34.16,184720.0,,-0.013231999999999999
